variable,level,overall,trach_peg=None,trach_peg=Trach or PEG,p_value,missing,type,note
N (encounters),,418,,,,,header,
N: trach_peg = None,,,298,,,,header,
N: trach_peg = Trach or PEG,,,,120,,,header,
ageyears,,11.54 (5.51); median 14.00 [10.00]; range 1.00–17.00,11.01 (5.62); median 13.00 [10.00]; range 1.00–17.00,12.87 (5.00); median 15.00 [6.25]; range 1.00–17.00,<0.001,0,continuous,
iss,,25.27 (6.44); median 26.00 [5.00]; range 4.00–75.00,25.28 (6.86); median 26.00 [5.00]; range 4.00–75.00,25.23 (5.31); median 26.00 [9.00]; range 9.00–33.00,0.771,0,continuous,
totalgcs,,4.08 (1.94); median 3.00 [2.00]; range 3.00–15.00,4.17 (2.05); median 3.00 [2.00]; range 3.00–15.00,3.88 (1.62); median 3.00 [1.00]; range 3.00–11.00,0.305,0,continuous,
gcs_cat,,,,,0.315,0,categorical,
gcs_cat,Severe,402 (96.2%),284 (95.3%),118 (98.3%),,,categorical_level,
gcs_cat,Moderate,14 (3.3%),12 (4.0%),2 (1.7%),,,categorical_level,
gcs_cat,Mild,2 (0.5%),2 (0.7%),0 (0.0%),,,categorical_level,
age_cat,,,,,NA,418,categorical,
sex,,,,,0.749,0,categorical,
sex,Male,299 (71.5%),215 (72.1%),84 (70.0%),,,categorical_level,
sex,Female,119 (28.5%),83 (27.9%),36 (30.0%),,,categorical_level,
minority,,,,,0.289,0,categorical,
minority,White,245 (58.6%),180 (60.4%),65 (54.2%),,,categorical_level,
minority,Minority,173 (41.4%),118 (39.6%),55 (45.8%),,,categorical_level,
race,,,,,0.857,0,categorical,
race,White,245 (58.6%),180 (60.4%),65 (54.2%),,,categorical_level,
race,Black,99 (23.7%),66 (22.1%),33 (27.5%),,,categorical_level,
race,Other,54 (12.9%),37 (12.4%),17 (14.2%),,,categorical_level,
race,American Indian,8 (1.9%),6 (2.0%),2 (1.7%),,,categorical_level,
race,Asian,8 (1.9%),6 (2.0%),2 (1.7%),,,categorical_level,
race,Pacific Islander,4 (1.0%),3 (1.0%),1 (0.8%),,,categorical_level,
ethnicity,,,,,0.309,10,categorical,
ethnicity,Non-Hispanic/Latino,316 (75.6%),221 (74.2%),95 (79.2%),,,categorical_level,
ethnicity,Hispanic/Latino,92 (22.0%),70 (23.5%),22 (18.3%),,,categorical_level,
primarymethodpayment,,,,,0.687,9,categorical,
primarymethodpayment,Medicaid,207 (49.5%),147 (49.3%),60 (50.0%),,,categorical_level,
primarymethodpayment,Private insurance,150 (35.9%),108 (36.2%),42 (35.0%),,,categorical_level,
primarymethodpayment,Self-pay,31 (7.4%),24 (8.1%),7 (5.8%),,,categorical_level,
primarymethodpayment,Other,20 (4.8%),12 (4.0%),8 (6.7%),,,categorical_level,
primarymethodpayment,Medicare,1 (0.2%),1 (0.3%),0 (0.0%),,,categorical_level,
iss_cat,,,,,0.196,0,categorical,
iss_cat,ISS > 24,299 (71.5%),217 (72.8%),82 (68.3%),,,categorical_level,
iss_cat,ISS 12-24,105 (25.1%),69 (23.2%),36 (30.0%),,,categorical_level,
iss_cat,ISS < 12,14 (3.3%),12 (4.0%),2 (1.7%),,,categorical_level,
mechanism,,,,,0.761,23,categorical,
mechanism,Motor vehicle traffic injury,166 (39.7%),117 (39.3%),49 (40.8%),,,categorical_level,
mechanism,Firearm,113 (27.0%),77 (25.8%),36 (30.0%),,,categorical_level,
mechanism,Fall,45 (10.8%),35 (11.7%),10 (8.3%),,,categorical_level,
mechanism,Nontraffic transportation injury,29 (6.9%),19 (6.4%),10 (8.3%),,,categorical_level,
mechanism,Struck by/against,27 (6.5%),20 (6.7%),7 (5.8%),,,categorical_level,
mechanism,Other,15 (3.6%),12 (4.0%),3 (2.5%),,,categorical_level,
intent,,,,,0.752,1,categorical,
intent,Unintentional,287 (68.7%),203 (68.1%),84 (70.0%),,,categorical_level,
intent,Assault,94 (22.5%),67 (22.5%),27 (22.5%),,,categorical_level,
intent,Self-inflicted,23 (5.5%),16 (5.4%),7 (5.8%),,,categorical_level,
intent,Undetermined,13 (3.1%),11 (3.7%),2 (1.7%),,,categorical_level,
verificationlevel,,,,,0.811,0,categorical,
verificationlevel,1,339 (81.1%),241 (80.9%),98 (81.7%),,,categorical_level,
verificationlevel,2,78 (18.7%),56 (18.8%),22 (18.3%),,,categorical_level,
verificationlevel,3,1 (0.2%),1 (0.3%),0 (0.0%),,,categorical_level,
statedesignation,,,,,0.984,0,categorical,
statedesignation,1,335 (80.1%),239 (80.2%),96 (80.0%),,,categorical_level,
statedesignation,2,80 (19.1%),57 (19.1%),23 (19.2%),,,categorical_level,
statedesignation,3,3 (0.7%),2 (0.7%),1 (0.8%),,,categorical_level,
teachingstatus,,,,,0.848,0,categorical,
teachingstatus,1,288 (68.9%),204 (68.5%),84 (70.0%),,,categorical_level,
teachingstatus,0,130 (31.1%),94 (31.5%),36 (30.0%),,,categorical_level,
hospitaltype,,,,,0.504,0,categorical,
hospitaltype,Non-profit,376 (90.0%),267 (89.6%),109 (90.8%),,,categorical_level,
hospitaltype,For profit,38 (9.1%),29 (9.7%),9 (7.5%),,,categorical_level,
hospitaltype,Government,4 (1.0%),2 (0.7%),2 (1.7%),,,categorical_level,
ich_category,,,,,0.316,0,categorical,
ich_category,>=2 concomitant ICHs,307 (73.4%),215 (72.1%),92 (76.7%),,,categorical_level,
ich_category,isolated SDH,59 (14.1%),46 (15.4%),13 (10.8%),,,categorical_level,
ich_category,isolated IPH,26 (6.2%),18 (6.0%),8 (6.7%),,,categorical_level,
ich_category,isolated SAH,12 (2.9%),10 (3.4%),2 (1.7%),,,categorical_level,
ich_category,isolated EDH,7 (1.7%),6 (2.0%),1 (0.8%),,,categorical_level,
ich_category,other/unspecified ICH,7 (1.7%),3 (1.0%),4 (3.3%),,,categorical_level,
tbimidlineshift,,,,,0.005,0,categorical,
